SessionTime,Phase,Activity,Target,TargetInstanceId,AOI,TargetCategory,HitX,HitY,HitZ,HitNormalX,HitNormalY,HitNormalZ,Distance,OriginX,OriginY,OriginZ,DirX,DirY,DirZ,LeftOpenness,RightOpenness,IsBlink,LeftPupil,RightPupil,AvgPupil,LeftPupilValid,RightPupilValid,LeftGazeValid,RightGazeValid,IsTracking,TargetChanged,DwellTime
39.93824,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.287203,1.364379,0.9409646,0.707107,-0.7071066,-8.940697E-08,3.432381,2.401905,1.405846,0.2343726,-0.9717904,-0.1150864,0.2058606,0.9999999,0.9999999,0,3.226955,2.424105,2.82553,1,1,1,1,1,0,0.3453331
40.00492,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.315787,1.335796,0.8522273,0.7067395,-0.7067394,-0.03223149,3.435923,2.39447,1.406488,0.2385789,-0.9769973,-0.1234201,0.1739074,0.9999999,0.9999999,0,3.146902,2.41956,2.783231,1,1,1,1,1,0,0.412014
40.08635,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.337715,1.313868,0.8522272,0.6977606,-0.6977606,-0.1620511,3.441989,2.383977,1.407502,0.2462171,-0.979902,-0.1285636,0.1525236,0.9999999,0.9999999,0,3.164499,2.48009,2.822294,1,1,1,1,1,0,0.4934502
40.15022,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.4391538,1.332119,1,0,0,8.416322,2.374405,1.409009,0.2538563,-0.9850417,-0.115235,0.1281157,0.9999999,0.9999999,0,4.284626,2.560409,3.422518,1,1,1,1,1,1,0
40.21888,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,1.153203,0.7776752,1,0,0,8.300879,2.36483,1.410916,0.262296,-0.9975877,-0.03104642,0.0620873,0.9999999,0.9999999,0,5.864885,3.020181,4.442533,1,1,1,1,1,0,0.06866455
40.32906,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.6615461,1.048869,1,0,0,8.338489,2.352457,1.414138,0.2767047,-0.9916041,-0.09025514,0.09260248,0.9999999,0.9999999,0,3.102747,2.391613,2.74718,1,1,1,1,1,0,0.1788406
40.34981,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.6516327,1.045052,1,0,0,8.336808,2.350408,1.414447,0.2791549,-0.9915583,-0.09149963,0.09186936,0.9999999,0.9999999,0,3.120229,2.405874,2.763052,1,1,1,1,1,0,0.1995926
40.4083,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.5808301,1.094921,1,0,0,8.34223,2.344952,1.414778,0.2864582,-0.9902599,-0.099967,0.0969121,0.9999999,0.9999999,0,3.160456,2.440813,2.800634,1,1,1,1,1,0,0.2580872
40.47526,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.4941074,0.8570912,1,0,0,8.325693,2.33944,1.414558,0.2938304,-0.9915648,-0.1105555,0.06765331,0.9999999,0.9999999,0,3.254874,2.357569,2.806222,1,1,1,1,1,0,0.3250427
40.54029,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.5018779,0.6463372,1,0,0,8.307781,2.334281,1.414127,0.3006197,-0.9930815,-0.1098066,0.04161369,0.9999999,0.9999999,0,3.208031,2.430552,2.819291,1,1,1,1,1,0,0.3900719
40.60904,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.4595275,0.5093998,1,0,0,8.302913,2.329411,1.41364,0.3072652,-0.9930772,-0.1149129,0.02434503,0.9999999,0.9999999,0,3.18807,2.423176,2.805623,1,1,1,1,1,0,0.458828
40.67495,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.618311,1.033272,0.8522272,0.3208316,-0.4887232,-0.8113058,3.837322,2.325931,1.413127,0.3122146,-0.9860591,-0.16267,0.03501395,0.9999999,0.9999999,0,3.157185,2.444063,2.800624,1,1,1,1,1,1,0
40.741,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.144277,0.3380187,1,0,0,1.316317,2.323255,1.412609,0.3161133,-0.9788605,-0.2038511,0.01664147,0.9999999,0.9999999,0,3.165689,2.448787,2.807238,1,1,1,1,1,1,0
40.81008,Default,CortarCacau,Wall,17670,Barrier,support,1.034764,1.151428,0.363003,1,0,0,1.313181,2.320991,1.412601,0.3199705,-0.9794746,-0.198886,0.0327694,0.9999999,0.9999999,0,3.105748,2.452209,2.778979,1,1,1,1,1,0,0.06907272
40.86602,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.618311,1.033271,0.8522273,0.4238473,-0.5057216,-0.7513983,3.782891,2.320039,1.413035,0.322268,-0.9850737,-0.1672331,0.04077843,0.9999999,0.9999999,0,3.117936,2.392188,2.755062,1,1,1,1,1,1,0
40.93063,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.2841425,0.5648397,1,0,0,8.315475,2.318871,1.413634,0.324284,-0.9903097,-0.1358301,0.02892869,0.9999999,0.9999999,0,3.040045,2.32823,2.684138,1,1,1,1,1,1,0
40.99628,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.3467869,0.4723638,1,0,0,8.303512,2.31728,1.414253,0.3256036,-0.9915447,-0.128556,0.01767447,0.9999999,0.9999999,0,3.01536,2.321925,2.668643,1,1,1,1,1,0,0.06565475
41.06626,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.3268616,0.4930676,1,0,0,8.305345,2.316118,1.414442,0.3264406,-0.991186,-0.1309494,0.02006263,0.9999999,0.9999999,0,3.02076,2.34909,2.684925,1,1,1,1,1,0,0.1356316
41.12978,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.3108704,0.4791391,1,0,0,8.305977,2.314945,1.414112,0.326587,-0.9909693,-0.132825,0.01836655,0.9999999,0.9999999,0,3.018668,2.346247,2.682457,1,1,1,1,1,0,0.1991501
41.19724,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.3315519,0.4692459,1,0,0,8.302216,2.31411,1.413806,0.3263465,-0.9913176,-0.1303573,0.0172122,0.9999999,0.9999999,0,3.05151,2.344327,2.697918,1,1,1,1,1,0,0.266613
41.25492,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.3413397,0.4659673,1,0,0,8.299977,2.313171,1.413875,0.3257814,-0.9914719,-0.1292215,0.0168899,0.9999999,0.9999999,0,3.009978,2.33852,2.674249,1,1,1,1,1,0,0.3242989
41.32222,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.3597511,0.478924,1,0,0,8.297245,2.312527,1.414006,0.3247316,-0.9917208,-0.1270608,0.01858357,0.9999999,0.9999999,0,3.042783,2.355129,2.698956,1,1,1,1,1,0,0.3915939
41.38845,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.3904481,0.4882221,1,0,0,8.292758,2.311629,1.414394,0.3236466,-0.9921492,-0.1234748,0.01984568,0.9999999,0.9999999,0,3.05197,2.396491,2.724231,1,1,1,1,1,0,0.4578247
41.45502,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.4109491,0.4885781,1,0,0,8.289808,2.311101,1.41486,0.3227378,-0.9924386,-0.1211018,0.02000533,0.9999999,0.9999999,0,3.087232,2.368021,2.727626,1,1,1,1,1,0,0.5243988
41.52207,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.4094858,0.485183,1,0,0,8.289861,2.31097,1.415258,0.3214877,-0.9924163,-0.1213256,0.01974645,0.9999999,0.9999999,0,3.084246,2.384353,2.7343,1,1,1,1,1,0,0.5914421
41.58689,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.452195,0.5487912,1,0,0,8.287683,2.312266,1.41595,0.3205233,-0.9928336,-0.1162876,0.02754304,0.9999999,0.9999999,0,3.068287,2.341092,2.704689,1,1,1,1,1,0,0.6562614
41.64327,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.478971,0.6145022,1,0,0,8.289138,2.314614,1.416763,0.3196425,-0.9929426,-0.113135,0.03557181,0.9999999,0.9999999,0,3.023671,2.393601,2.708636,1,1,1,1,1,0,0.7126465
41.70852,Default,CortarCacau,Mixer,-558,Default,machine,-5.916024,0.5013011,0.7313889,1,0,0,8.298013,2.320905,1.417606,0.3185912,-0.9926388,-0.1104246,0.04974658,0.9999999,0.9999999,0,3.022019,2.372765,2.697392,1,1,1,1,1,0,0.7778931
41.77644,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.233464,1.418118,0.8703362,0.7071068,-0.7071068,-8.940697E-08,3.278295,2.33198,1.418071,0.3171618,-0.9797446,-0.1078323,0.1687384,0.9999999,0.9999999,0,2.950931,2.449355,2.700143,1,1,1,1,1,1,0
41.84261,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.219333,1.43225,0.9777586,0.7071068,-0.7071068,-8.940697E-08,3.297024,2.346131,1.41852,0.3155499,-0.9741846,-0.1030697,0.2008504,0.9999999,0.9999999,0,3.093026,2.411074,2.75205,1,1,1,1,1,0,0.06617355
41.91207,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.192947,1.458636,0.8522301,0.7070609,-0.7070609,-0.01140565,3.257368,2.359123,1.419797,0.3166671,-0.9819402,-0.09660927,0.1626652,0.9999999,0.9999999,0,3.049733,2.340217,2.694975,1,1,1,1,1,0,0.1356354
41.97669,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.27581,1.375772,1.023617,0.707107,-0.7071066,-8.940697E-08,3.389066,2.369015,1.421431,0.3208182,-0.9711443,-0.1177941,0.2073725,0.9999999,0.9999999,0,3.017301,2.5144,2.765851,1,1,1,1,1,0,0.2002525
42.04504,Default,CortarCacau,Writebook_5,-510,Default,tutorial,-1.381128,1.270455,1.399151,0.7071068,-0.7071068,-8.940697E-08,3.60799,2.380063,1.422518,0.3267945,-0.9444699,-0.1401382,0.297217,0.9999999,0.9999999,0,2.968842,2.545643,2.757242,1,1,1,1,1,0,0.2686081
