consultation_start_s,consultation_end_s,dwell_s,n_fixations,target,activity,nearest_activity,nearest_activity_start_s,offset_s,timing
294.1247863769531,294.4258117675781,0.301025390625,1,Writebook_5,Formar,Formar,234.5825958251953,59.54219055175781,fora_janela
298.0668029785156,299.4042053222656,1.33740234375,1,Writebook_5,Formar,Formar,234.5825958251953,63.48420715332031,fora_janela
300.9750061035156,301.1325988769531,0.1575927734375,1,Writebook_5,Formar,Formar,234.5825958251953,66.39241027832031,fora_janela
306.0762023925781,306.2691955566406,0.1929931640625,1,Writebook_5,Formar,Formar,234.5825958251953,71.49360656738281,fora_janela
306.6773986816406,323.65509033203125,14.13787841796875,34,Writebook_5,Formar,Formar,234.5825958251953,72.09480285644531,fora_janela
324.0992126464844,326.10479736328125,1.579071044921875,5,Writebook_5,Formar,Formar,234.5825958251953,89.51661682128906,fora_janela
326.5497131347656,327.6510925292969,1.068084716796875,2,Writebook_5,Formar,Formar,234.5825958251953,91.96711730957031,fora_janela
328.34259033203125,329.7809143066406,1.292449951171875,3,Writebook_5,Formar,Formar,234.5825958251953,93.75999450683594,fora_janela
330.17999267578125,333.7681884765625,2.87725830078125,9,Writebook_5,Formar,Formar,234.5825958251953,95.59739685058594,fora_janela
334.1993103027344,336.1054992675781,1.515411376953125,5,Writebook_5,Formar,Formar,234.5825958251953,99.61671447753906,fora_janela
336.7073974609375,337.8644104003906,1.058990478515625,3,Writebook_5,Formar,Formar,234.5825958251953,102.12480163574219,fora_janela
338.3879089355469,344.6260986328125,5.09429931640625,10,Writebook_5,Formar,Formar,234.5825958251953,103.80531311035156,fora_janela
344.9502868652344,345.05029296875,0.100006103515625,1,Writebook_5,Formar,Formar,234.5825958251953,110.36769104003906,fora_janela
345.41778564453125,345.96240234375,0.54461669921875,1,Writebook_5,Formar,Formar,234.5825958251953,110.83518981933594,fora_janela
346.48651123046875,354.30621337890625,6.38037109375,20,Writebook_5,Formar,Formar,234.5825958251953,111.90391540527344,fora_janela
355.0632019042969,357.8492126464844,2.480438232421875,7,Writebook_5,Formar,Formar,234.5825958251953,120.48060607910156,fora_janela
358.48089599609375,360.45318603515625,1.5614013671875,6,Writebook_5,Formar,Formar,234.5825958251953,123.89830017089844,fora_janela
360.99688720703125,363.80621337890625,2.2247314453125,8,Writebook_5,Formar,Formar,234.5825958251953,126.41429138183594,fora_janela
364.26239013671875,366.1910095214844,1.31146240234375,7,Writebook_5,Formar,Formar,234.5825958251953,129.67979431152344,fora_janela
366.935302734375,368.7391052246094,1.434906005859375,6,Writebook_5,Formar,Formar,234.5825958251953,132.3527069091797,fora_janela
371.7685852050781,373.4277038574219,1.256744384765625,6,Writebook_5,Formar,Formar,234.5825958251953,137.1859893798828,fora_janela
385.84619140625,386.2066955566406,0.360504150390625,1,Paper_0,Formar,Formar,234.5825958251953,151.2635955810547,fora_janela
396.7857971191406,397.26458740234375,0.478790283203125,1,Writebook_5,Formar,Formar,234.5825958251953,162.2032012939453,fora_janela
399.23370361328125,401.61090087890625,2.0069580078125,6,Writebook_5,Formar,Formar,234.5825958251953,164.65110778808594,fora_janela
402.0304870605469,402.2311096191406,0.20062255859375,1,Writebook_5,Formar,Formar,234.5825958251953,167.44789123535156,fora_janela
404.19110107421875,409.2362060546875,4.124969482421875,7,Writebook_5,Formar,Formar,234.5825958251953,169.60850524902344,fora_janela
